County,Office,Candidate,Party,County Total,State Total
Noxubee,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,1557,202530
Rankin,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,50375,202530
Scott,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,6321,202530
Sharkey,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,665,202530
Sunflower,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,3073,202530
Warren,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,10650,202530
Washington,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,6065,202530
Yazoo,Central District-Supreme Court District 1(Central) Position 1,Kenny Griffis,Nonpartisan,4582,202530
Bolivar,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,7169,190455
Claiborne,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,3055,190455
Copiah,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,5682,190455
Hinds,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,66394,190455
Holmes,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,5611,190455
Humphreys,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2707,190455
Issaquena,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,279,190455
Jefferson,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2654,190455
Kemper,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2430,190455
Lauderdale,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,10760,190455
Leake,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,3410,190455
Madison,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,20916,190455
Neshoba,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2888,190455
Newton,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2905,190455
Noxubee,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,2712,190455
Rankin,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,16785,190455
Scott,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,3620,190455
Sharkey,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,1272,190455
Sunflower,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,5780,190455
Warren,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,8677,190455
Washington,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,9903,190455
Yazoo,Central District-Supreme Court District 1(Central) Position 1,Latrice Westbrooks,Nonpartisan,4846,190455
Bolivar,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,9634,334129
Claiborne,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,3753,334129
Copiah,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,10362,334129
Hinds,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,81121,334129
Holmes,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,6093,334129
Humphreys,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,3099,334129
Issaquena,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,428,334129
Jefferson,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,3133,334129
Kemper,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,3554,334129
Lauderdale,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,23492,334129
Leake,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,7429,334129
Madison,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,44372,334129
Neshoba,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,10117,334129
Newton,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,8395,334129
Noxubee,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,3006,334129
Rankin,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,58923,334129
Scott,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,8708,334129
Sharkey,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,1517,334129
Sunflower,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,7918,334129
Warren,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,16748,334129
Washington,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,14987,334129
Yazoo,Central District-Supreme Court District 1(Central) Position 2,Leslie D. King,Nonpartisan,7340,334129
Adams,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,9058,347143
Amite,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,5668,347143
Clarke,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,6576,347143
Covington,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,7564,347143
Forrest,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,24574,347143
Franklin,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,3335,347143
George,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,8668,347143
Greene,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,4546,347143
Hancock,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,15857,347143
Harrison,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,57174,347143
Jackson,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,40435,347143
Jasper,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,7018,347143
Jeff Davis,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,4510,347143
Jones,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,24893,347143
Lamar,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,23715,347143
Lawrence,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,5213,347143
Lincoln,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,13513,347143
Marion,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,9388,347143
Pearl River,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,18834,347143
Perry,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,4542,347143
Pike,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,13171,347143
Simpson,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,9359,347143
Smith,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,6898,347143
Stone,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,6227,347143
Walthall,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,5506,347143
Wayne,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,8076,347143
Wilkinson,Southern District-Supreme Court District 2(Southern) Position 3,Mike Randolph,Nonpartisan,2825,347143
Alcorn,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,8670,236070
Attala,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,4771,236070
Benton,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,2165,236070
Calhoun,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,3892,236070
Carroll,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,2894,236070
Chickasaw,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,4727,236070
Choctaw,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,3293,236070
Clay,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,6049,236070
Coahoma,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,3473,236070
DeSoto,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,37540,236070
Grenada,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,4428,236070
Itawamba,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,6440,236070
Lafayette,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,13220,236070
Lee,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,21040,236070
Leflore,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,4857,236070
Lowndes,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,14981,236070
Marshall,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,7612,236070
Monroe,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,9744,236070
Montgomery,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,2254,236070
Oktibbeha,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,10973,236070
Panola,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,7151,236070
Pontotoc,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,8355,236070
Prentiss,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,5986,236070
Quitman,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,1329,236070
Tallahatchie,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,2634,236070
Tate,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,5486,236070
Tippah,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,5681,236070
Tishomingo,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,4948,236070
Tunica,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,1359,236070
Union,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,7744,236070
Webster,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,3345,236070
Winston,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,5479,236070
Yalobusha,Northern District-Supreme Court District 3(Northern) Position 3,Josiah Dennis Coleman,Nonpartisan,3550,236070
Alcorn,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,3970,136118
Attala,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2384,136118
Benton,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1218,136118
Calhoun,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1872,136118
Carroll,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1715,136118
Chickasaw,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2057,136118
Choctaw,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,586,136118
Clay,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2374,136118
Coahoma,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,3263,136118
DeSoto,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,28986,136118
Grenada,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,4847,136118
Itawamba,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2802,136118
Lafayette,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,6708,136118
Lee,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,9490,136118
Leflore,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,3466,136118
Lowndes,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,6923,136118
Marshall,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,4368,136118
Monroe,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,4449,136118
Montgomery,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1978,136118
Oktibbeha,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,4907,136118
Panola,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,6590,136118
Pontotoc,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,3605,136118
Prentiss,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2864,136118
Quitman,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1294,136118
Tallahatchie,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1788,136118
Tate,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,5496,136118
Tippah,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2849,136118
Tishomingo,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2379,136118
Tunica,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1491,136118
Union,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,3055,136118
Webster,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,1324,136118
Winston,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2747,136118
Yalobusha,Northern District-Supreme Court District 3(Northern) Position 3,Percy L. Lynchard,Nonpartisan,2273,136118
Forrest,State House Of Rep 87-District 87,Matthew Conoly,,1044,3565
Lamar,State House Of Rep 87-District 87,Matthew Conoly,,2521,3565
Forrest,State House Of Rep 87-District 87,David Wayne Morgan,,508,1648
Lamar,State House Of Rep 87-District 87,David Wayne Morgan,,1140,1648
Forrest,State House Of Rep 87-District 87,Joseph 'Bubba' Tubb,,1452,4239
